,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹),Website,Ram - b,Processor Type - b,Price Category - b
400,Dell,Dell 3501 Inspiron 3000 Laptop,8GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,39999,RelianceDigital.com,1,0,1
401,Asus,Asus KA711TS ZenBook Duo (2021) Laptop,16GB,1TB SSD,11th Gen Intel Core i7,High End Laptop,AMD,Solid State Drive,138999,RelianceDigital.com,2,1,0
402,HP,HP 15-ec1023AX Pavilion Gaming Laptop,8GB,1TB HDD + 256GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Hard Disk Drive & Solid State Drive,61999,RelianceDigital.com,1,1,2
403,HP,HP 15-ec1106AX Pavilion Gaming Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,63999,RelianceDigital.com,1,1,2
404,HP,HP 15s-FQ2076TU Laptop,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,52999,RelianceDigital.com,1,0,2
405,HP,HP 15-DK2075TX Pavilion Gaming Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,83999,RelianceDigital.com,2,0,0
406,HP,HP 16d0300TX Victus Gaming Laptop,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,74999,RelianceDigital.com,1,0,0
407,HP,HP 16d0005TX Victus Gaming Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,100999,RelianceDigital.com,2,0,0
408,Asus,Asus K6464TS ROG Flow X13 Gaming Laptop,16GB,1TB SSD,AMD Ryzen 9,High End Laptop,AMD,Solid State Drive,112999,RelianceDigital.com,2,1,0
409,Dell,Dell 5415 Vostro 14 Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,57999,RelianceDigital.com,1,1,2
410,Lenovo,Lenovo P4IN Legion 5 Gaming Laptop,8GB,256GB SSD,10th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,72490,RelianceDigital.com,1,0,0
411,Dell,Dell 9305 XPS 13 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,115999,RelianceDigital.com,2,0,0
412,Dell,Dell 5310 Inspiron 13 Gaming Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,92499,RelianceDigital.com,2,0,0
413,Asus,Asus KG701TS Zenbook 13 Laptop,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72499,RelianceDigital.com,2,1,0
414,Lenovo,Lenovo 4DIN Legion 5 Gaming Laptop,8GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,89499,RelianceDigital.com,1,1,0
415,VAIO,VAIO E15 V2IN007P Laptop,8GB,512GB SSD,AMD Ryzen R5,Budget Laptop,AMD,Solid State Drive,48999,RelianceDigital.com,1,1,1
416,AVITA,AVITA Liber V14 A8INR672-MB Laptop,16GB,1TB SSD,10th Gen Intel Core i7,Mid Range Laptop,Intel,Solid State Drive,58999,RelianceDigital.com,2,0,2
417,HP,HP 15-ec1051AX Pavilion Gaming Laptop,8GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,72999,RelianceDigital.com,1,1,0
418,Dell,Inspiron 14 Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,84989,Dell.com,2,0,0
419,Dell,Inspiron 15 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66989,Dell.com,2,0,2
420,Dell,Inspiron 15 Laptop,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,62490,Dell.com,1,0,2
421,Dell,Inspiron 15 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,70990,Dell.com,2,0,0
422,Dell,XPS 17 Laptop,16GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,274989,Dell.com,2,0,0
423,Dell,XPS 15 Laptop,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,233990,Dell.com,2,0,0
424,Dell,G15 Gaming Laptop,16GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,166790,Dell.com,2,0,0
425,Dell,G15 Gaming Laptop,16GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,140990,Dell.com,2,0,0
426,Dell,G15 Gaming Laptop,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,130789,Dell.com,2,0,0
427,Dell,G15 Gaming Laptop,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,107490,Dell.com,2,0,0
428,Dell,New Inspiron 16 laptop,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,89489,Dell.com,2,0,0
429,Dell,New Inspiron 14 Laptop,16GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,87490,Dell.com,2,0,0
430,Dell,Inspiron 15 Plus Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,114989,Dell.com,2,0,0
431,Dell,ALIENWARE M15 R7 GAMING LAPTOP,16GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,219989,Dell.com,2,0,0
432,Dell,ALIENWARE M15 R7 GAMING LAPTOP,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,169989,Dell.com,2,0,0
433,Dell,Inspiron 14 2-in-1 Laptop,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,96890,Dell.com,2,0,0
434,Dell,XPS 13 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,99989,Dell.com,2,0,0
435,Dell,Inspiron 15 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,70489,Dell.com,2,0,0
436,Dell,XPS 15 Laptop,32GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,249990,Dell.com,2,0,0
437,Dell,G15 Gaming Laptop,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,75790,Dell.com,2,0,0
438,Dell,G15 Gaming Laptop,16GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,77990,Dell.com,2,1,0
439,Dell,G15 Gaming Laptop,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,90989,Dell.com,2,0,0
440,Dell,Inspiron 14 Laptop,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,64489,Dell.com,2,1,2
441,Dell,G15 Gaming Laptop,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,128989,Dell.com,2,1,0
442,Dell,G15 Gaming Laptop,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,96289,Dell.com,2,1,0
443,Dell,Inspiron 14 Laptop,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72989,Dell.com,2,1,0
444,Dell,Inspiron 14 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,69990,Dell.com,2,0,2
445,Dell,Inspiron 16 laptop,16GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,70489,Dell.com,2,1,0
446,Dell,Inspiron 16 laptop,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,78990,Dell.com,2,1,0
447,Dell,Inspiron 15 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67989,Dell.com,2,0,2
448,Dell,Inspiron 14 Laptop,16GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,68989,Dell.com,2,1,2
449,Dell,New Inspiron 14 Laptop,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,72490,Dell.com,2,0,0
450,Dell,Inspiron 15 3000 laptop,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,62489,Dell.com,2,0,2
451,Dell,New Inspiron 16 laptop,16GB,512GB SSD,12th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,69989,Dell.com,2,0,2
452,Dell,New Inspiron 16 laptop,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,77489,Dell.com,2,0,0
453,Dell,Inspiron 15 Plus Laptop,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,99989,Dell.com,2,0,0
454,Dell,New Inspiron 14 Laptop,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,72490,Dell.com,2,0,0
455,Dell,New Inspiron 14 Laptop,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,74990,Dell.com,2,0,0
456,Dell,New Inspiron 14 Laptop,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,72490,Dell.com,2,0,0
457,Dell,ALIENWARE M15 R6 GAMING LAPTOP,32GB,1TB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,229989,Dell.com,2,0,0
458,Dell,ALIENWARE M15 R7 GAMING LAPTOP,32GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,274988,Dell.com,2,0,0
459,Dell,Inspiron 14 2-in-1 Laptop,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,80789,Dell.com,2,0,0
460,Dell,Inspiron 14 2-in-1 Laptop,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,91389,Dell.com,2,1,0
461,Dell,ALIENWARE M15 RYZEN EDITION R5 GAMING LAPTOP,16GB,512GB SSD,AMD Ryzen R7 5800H,High End Laptop,AMD,Solid State Drive,144990,Dell.com,2,1,0
462,Dell,ALIENWARE M15 RYZEN EDITION R5 GAMING LAPTOP,16GB,512GB SSD,AMD Ryzen R7 5800H,High End Laptop,AMD,Solid State Drive,129989,Dell.com,2,1,0
463,Dell,ALIENWARE X15 GAMING LAPTOP,16GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,249989,Dell.com,2,0,0
464,Dell,ALIENWARE X14 GAMING LAPTOP,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,170989,Dell.com,2,0,0
465,Dell,Vostro 3510 Laptop,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,39989,Dell.com,1,0,1
466,Dell,Vostro 3510 Laptop,8GB,256GB SSD,Intel Pentium Gold,Budget Laptop,Intel,Solid State Drive,34990,Dell.com,1,0,1
467,Dell,XPS 17 Laptop,32GB,1TB SSD,12th Gen Intel Core i9,High End Laptop,Intel,Solid State Drive,329990,Dell.com,2,0,0
468,Dell,G15 Gaming Laptop,8GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,70990,Dell.com,1,1,0
469,Dell,Inspiron 14 Laptop,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,48489,Dell.com,1,0,1
470,Dell,Inspiron 15 Laptop,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66990,Dell.com,1,0,2
471,Dell,Inspiron 14 Laptop,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64989,Dell.com,1,0,2
472,Dell,Inspiron 14 Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,56990,Dell.com,1,1,2
473,Dell,Inspiron 14 Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,60989,Dell.com,1,1,2
474,Dell,New Inspiron 14 Laptop,8GB,512GB SSD,12th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,51989,Dell.com,1,0,2
475,Dell,Inspiron 15 3000 laptop,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,44489,Dell.com,1,0,1
476,Dell,Inspiron 15 3000 Laptop,8GB,256GB SSD,AMD Athlon,Budget Laptop,AMD,Solid State Drive,33490,Dell.com,1,1,1
477,Dell,Inspiron 15 3000 Laptop,8GB,256GB SSD,Intel Pentium,Budget Laptop,Intel,Solid State Drive,34589,Dell.com,1,0,1
478,Apple,APPLE MacBook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,106990,Flipkart.com,1,2,0
479,Apple,APPLE 2020 Macbook Air M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,92900,Flipkart.com,1,2,0
480,Apple,APPLE 2020 Macbook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,111490,Flipkart.com,1,2,0
481,Apple,APPLE 2020 Macbook Air M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,92900,Flipkart.com,1,2,0
482,Apple,APPLE 2022 MacBook Pro M2 ,8GB,256GB SSD,Apple M2 Processor,High End Laptop,Apple,Solid State Drive,129900,Flipkart.com,1,2,0
483,Apple,APPLE 2022 MacBook Pro M2 ,8GB,512GB SSD,Apple M2 Processor,High End Laptop,Apple,Solid State Drive,149900,Flipkart.com,1,2,0
484,Apple,APPLE 2021 Macbook Pro M1 Pro ,16GB,512GB SSD,Apple M1 Pro Processor,High End Laptop,Apple,Solid State Drive,225990,Flipkart.com,2,2,0
485,Apple,APPLE 2020 Macbook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,112490,Flipkart.com,1,2,0
486,Apple,APPLE 2022 MacBook Pro M2 ,8GB,512GB SSD,Apple M2 Processor,High End Laptop,Apple,Solid State Drive,149900,Flipkart.com,1,2,0
487,Apple,APPLE 2020 Macbook Pro M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,116990,Flipkart.com,1,2,0
488,Apple,APPLE 2022 MacBook Pro M2 ,8GB,256GB SSD,Apple M2 Processor,High End Laptop,Apple,Solid State Drive,129900,Flipkart.com,1,2,0
489,Apple,APPLE 2020 Macbook Pro M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,132990,Flipkart.com,1,2,0
490,Apple,APPLE MacBook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,106990,Flipkart.com,1,2,0
491,Apple,APPLE 2020 Macbook Air M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,92900,Flipkart.com,1,2,0
492,Apple,APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,16GB,1TB SSD,Intel Core i5,High End Laptop,Apple,Solid State Drive,174990,Flipkart.com,2,0,0
493,Apple,APPLE 2021 Macbook Pro M1 Pro ,16GB,1TB SSD,Apple M1 Pro Processor,High End Laptop,Apple,Solid State Drive,239990,Flipkart.com,2,2,0
494,Apple,APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,16GB,1TB SSD,Intel Core i5,High End Laptop,Apple,Solid State Drive,174990,Flipkart.com,2,0,0
495,Apple,APPLE MacBook Pro M1 ,8GB,1TB SSD,Apple M1 Processor,High End Laptop,Apple,Solid State Drive,149990,Flipkart.com,1,2,0
496,Apple,APPLE MacBook Air Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,High End Laptop,Apple,Solid State Drive,104990,Flipkart.com,1,0,0
497,Apple,APPLE 2021 Macbook Pro M1 Pro ,16GB,1TB SSD,Apple M1 Pro Processor,High End Laptop,Apple,Solid State Drive,225990,Flipkart.com,2,2,0
498,Apple,APPLE MacBook Pro Core i5 8th Gen ,8GB,512GB SSD,Intel Core i5,High End Laptop,Apple,Solid State Drive,162990,Flipkart.com,1,0,0
499,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,38490,Flipkart.com,1,0,1
500,Lenovo,Lenovo IdeaPad 3 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,33490,Flipkart.com,1,0,1
501,Lenovo,Lenovo IdeaPad Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,38490,Flipkart.com,1,0,1
502,Lenovo,Lenovo IdeaPad 3 Celeron Dual Core 4th Gen ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,27990,Flipkart.com,0,0,1
503,Lenovo,Lenovo Ideapad Slim 5i Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990,Flipkart.com,2,0,2
504,Lenovo,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,47990,Flipkart.com,1,1,1
505,Lenovo,Lenovo IdeaPad 3 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,33490,Flipkart.com,1,0,1
506,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36990,Flipkart.com,1,0,1
507,Lenovo,Lenovo IdeaPad Gaming 3 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53490,Flipkart.com,1,0,2
508,Lenovo,Lenovo IdeaPad 3 Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,51990,Flipkart.com,1,0,2
509,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,41990,Flipkart.com,1,0,1
510,Lenovo,Lenovo Core i3 10th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36990,Flipkart.com,1,0,1
511,Lenovo,Lenovo IdeaPad 3 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Budget Laptop,Intel,Solid State Drive,49990,Flipkart.com,1,0,1
512,Lenovo,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53990,Flipkart.com,1,0,2
