,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹)
160,Lenovo,Lenovo DWIN IdeaPad 3 Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,52999
161,Lenovo,Lenovo DCIN IdeaPad 3 Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,47799
162,Lenovo,Lenovo DPIN Yoga 6 Convertible ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,81999
163,Lenovo,Lenovo BPIN IdeaPad 3 Gaming Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,49999
164,Lenovo,Lenovo 8AIN IdeaPad 5 Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,59999
165,Lenovo,Lenovo 59IN IdeaPad Flex 5 Convertible ,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,81999
166,AVITA,AVITA PURA E NS14A6ING541 Laptop ,8GB,256GB SSD,AMD A6-9220e,Budget Laptop,AMD,Solid State Drive,25999
167,Dell,Dell 3511 Inspiron 15 ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,56499
168,Dell,Dell 3511 Inspiron 15 ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,57999
169,Lenovo,Lenovo BJIN IdeaPad Silm 3 Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,47799
170,Asus,Asus HZ084TS ROG Zephyrus G14 Gaming Laptop ,8GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72999
171,HP,HP 14s-ef1000tu Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,45999
172,Asus,Asus L502WS Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,62999
173,Dell,Dell 3400 Vostro Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,58999
