,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price (₹),Website
58,Lenovo,Lenovo IdeaPad 3 Celeron Dual Core ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,30799,FLIPKART
59,Lenovo,Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,62990,FLIPKART
60,Lenovo,Lenovo IdeaPad 5 Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990,FLIPKART
61,Lenovo,Lenovo Legion 5 Core i7 11th Gen ,16GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,94990,FLIPKART
62,Lenovo,Lenovo ThinkPad E15 Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,63990,FLIPKART
63,Lenovo,Lenovo IdeaPad 5 Pro Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67990,FLIPKART
64,Lenovo,Lenovo Legion 5 Pro Core i7 11th Gen ,16GB,1TB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,157990,FLIPKART
65,Lenovo,Lenovo Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,77990,FLIPKART
66,Lenovo,Lenovo Ideapad Flex 5 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,56999,FLIPKART
67,Lenovo,Lenovo ThinkPad E15 Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67990,FLIPKART
68,Lenovo,Lenovo Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,54990,FLIPKART
69,Lenovo,Lenovo Ideapad Slim3 Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,38990,FLIPKART
70,Lenovo,Lenovo IdeaPad 1 Celeron Dual Core 4th Gen ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,27990,FLIPKART
71,Lenovo,Lenovo Thinkbook Convertible Core i7 11th Gen ,16GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,84990,FLIPKART
